Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,emi_burden,risk_score,age_group,anomaly_flag,is_anomaly,zscore_anomaly
7,0,0.305682465,57,0,5710.0,5400.0,8,0,3,0,0.0,1.0572116274763932,2284.183409479,Senior,-1,1,0
45,0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0,843.75,675.2213255598,Senior,-1,1,1
59,0,0.541108804,43,0,2477.0,5400.0,3,0,1,0,2.0,0.4586187743010553,991.1246652824,Mid,-1,1,0
87,0,0.360509632,58,1,3282.0,5400.0,8,0,2,0,0.0,0.6076652471764488,1313.0163057792,Senior,-1,1,0
93,0,0.784835658,52,0,2662.0,5400.0,10,0,2,1,0.0,0.4928716904276985,1065.2709013948,Senior,-1,1,0
110,0,0.041257909,61,0,4739.0,5400.0,11,0,4,0,0.0,0.8774301055360119,1895.6247547454,Senior,-1,1,0
125,0,0.277956679,39,0,4090.0,5400.0,9,0,2,0,0.0,0.7572671727457878,1636.1667740074,Mid,-1,1,0
142,0,0.576518559,72,0,3031.0,5400.0,11,0,1,0,0.0,0.5611923717830032,1212.7459111354,Senior,-1,1,0
168,0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0,319.75,255.8125798334,Young,-1,1,1
172,0,0.9999999,29,0,974.0,5400.0,2,0,0,0,0.0,0.1803369746343269,390.19999994,Young,-1,1,0
180,1,0.946963874,35,0,1593.0,5400.0,6,0,1,0,1.0,0.2949453804850953,637.7681783244001,Mid,-1,1,0
196,1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0,37.25,29.8155354814,Mid,-1,1,0
215,1,0.655316473,63,0,5223.0,5400.0,19,0,2,0,0.0,0.9670431401592298,2089.5931898838003,Senior,-1,1,0
218,0,0.222696207,42,0,800.0,1.0,3,0,1,0,2.0,400.0,320.1336177242,Mid,-1,1,1
236,0,0.0,66,0,3730.0,5400.0,8,0,1,0,0.0,0.6906128494723199,1492.0,Senior,-1,1,0
243,0,0.877564897,58,0,2825.0,5400.0,10,0,2,0,0.0,0.523051286798741,1130.5265389382,Senior,-1,1,0
285,0,0.260971034,57,0,5439.0,5400.0,16,0,3,0,0.0,1.0070357341233105,2175.7565826204,Senior,-1,1,0
322,0,0.042606843,58,0,3976.0,5400.0,13,0,3,0,0.0,0.7361599703758563,1590.4255641058,Senior,-1,1,0
352,0,0.0,58,0,8380.0,5400.0,20,0,5,0,0.0,1.5515645250879466,3352.0,Senior,-1,1,1
355,1,0.953343701,48,2,2073.0,5400.0,5,1,2,2,0.0,0.3838178115163858,829.7720062206,Mid,-1,1,0
359,0,0.9999999,35,0,3388.0,5400.0,1,0,1,0,0.0,0.6272912423625254,1355.79999994,Mid,-1,1,0
365,0,0.728218119,40,1,3878.0,5400.0,10,0,2,0,0.0,0.7180151823736345,1551.6369308714,Mid,-1,1,0
368,0,0.066347297,46,1,4480.0,5400.0,6,0,2,0,0.0,0.8294760229587114,1792.0398083782,Mid,-1,1,0
369,0,0.502958087,57,0,6381.0,5400.0,5,0,2,0,0.0,1.181447880022218,2552.7017748522003,Senior,-1,1,0
401,0,0.134191514,63,0,926.5,1.0,9,0,1,0,0.0,463.25,370.6805149084,Senior,-1,1,1
422,0,0.063514422,57,0,2221.5,1.0,12,0,2,0,0.0,1110.75,888.6381086532,Senior,-1,1,1
427,0,0.9999999,33,0,1786.0,5400.0,3,0,1,0,0.0,0.3306795037955934,714.9999999400001,Mid,-1,1,0
532,0,0.0,64,0,3819.0,5400.0,3,0,2,0,0.0,0.7070912793927051,1527.6,Senior,-1,1,0
536,0,0.749602291,62,0,7963.0,5400.0,7,0,2,0,3.0,1.474356600629513,3185.6497613746,Senior,-1,1,1
584,0,0.768537191,46,0,2568.0,5400.0,5,0,0,0,0.0,0.4754675060174042,1027.6611223146,Mid,-1,1,0
641,0,0.063062463,54,0,4659.0,5400.0,5,0,2,0,0.0,0.8626180336974635,1863.6378374778,Senior,-1,1,0
644,0,0.143316879,70,3,4294.0,5400.0,16,0,5,1,0.0,0.7950379559340863,1717.6859901274,Senior,-1,1,0
645,0,0.334295645,48,0,5368.0,5400.0,13,0,2,0,0.0,0.9938900203665988,2147.4005773870003,Mid,-1,1,0
678,0,0.12136536,34,0,3300.0,5400.0,5,0,2,0,0.0,0.6109979633401222,1320.072819216,Mid,-1,1,0
781,0,0.917428326,66,1,2410.0,5400.0,7,1,2,0,0.0,0.446213664136271,964.5504569956,Senior,-1,1,0
848,1,0.0,44,0,6046.0,5400.0,9,0,3,0,0.0,1.1194223291982963,2418.4,Mid,-1,1,0
863,0,0.717853471,67,0,3174.0,5400.0,15,0,3,0,0.0,0.5876689501944085,1270.0307120826,Senior,-1,1,0
864,0,0.607205622,63,0,4627.0,5400.0,15,0,1,0,0.0,0.856693204962044,1851.1643233732,Senior,-1,1,0
867,0,0.059356682,32,0,4121.0,5400.0,10,0,1,0,0.0,0.7630068505832254,1648.4356140092,Mid,-1,1,0
869,0,0.738420926,72,0,2367.0,5400.0,11,0,1,0,0.0,0.4382521755230513,947.2430525556,Senior,-1,1,0
